Article,Total Words,Total Syllables,Average Syllables Per Word
bctech2011.txt,2426,4246,1.7502061005770817
bctech2012.txt,496,962,1.939516129032258
bctech2013.txt,655,1178,1.798473282442748
bctech2014.txt,502,943,1.8784860557768925
bctech2015.txt,636,1117,1.7562893081761006
bctech2016.txt,464,819,1.7650862068965518
bctech2017.txt,396,745,1.8813131313131313
bctech2018.txt,455,815,1.7912087912087913
bctech2019.txt,570,995,1.7456140350877194
bctech2020.txt,780,1483,1.9012820512820512
bctech2021.txt,498,928,1.8634538152610443
bctech2022.txt,742,1200,1.6172506738544474
bctech2023.txt,676,1141,1.6878698224852071
bctech2024.txt,836,1412,1.6889952153110048
bctech2025.txt,887,1489,1.6786922209695603
bctech2026.txt,873,1391,1.5933562428407788
bctech2027.txt,841,1307,1.55410225921522
bctech2028.txt,1015,1615,1.5911330049261083
bctech2029.txt,1088,1686,1.5496323529411764
bctech2030.txt,857,1448,1.689614935822637
bctech2031.txt,985,1600,1.6243654822335025
bctech2032.txt,547,844,1.5429616087751372
bctech2033.txt,629,1145,1.820349761526232
bctech2034.txt,981,1633,1.6646279306829765
bctech2035.txt,768,1343,1.7486979166666667
bctech2036.txt,948,1474,1.5548523206751055
bctech2037.txt,1061,1580,1.4891611687087654
bctech2038.txt,527,778,1.476280834914611
bctech2039.txt,365,612,1.6767123287671233
bctech2040.txt,464,770,1.6594827586206897
bctech2041.txt,294,485,1.6496598639455782
bctech2042.txt,374,598,1.5989304812834224
bctech2043.txt,404,685,1.6955445544554455
bctech2044.txt,473,768,1.6236786469344608
bctech2045.txt,484,763,1.5764462809917354
bctech2046.txt,351,602,1.7150997150997151
bctech2047.txt,512,899,1.755859375
bctech2048.txt,370,596,1.6108108108108108
bctech2049.txt,571,930,1.6287215411558669
bctech2050.txt,460,776,1.6869565217391305
bctech2051.txt,711,1248,1.7552742616033756
bctech2052.txt,477,752,1.5765199161425576
bctech2053.txt,463,752,1.6241900647948164
bctech2054.txt,500,754,1.508
bctech2055.txt,563,799,1.419182948490231
bctech2056.txt,1136,1643,1.4463028169014085
bctech2057.txt,507,888,1.7514792899408285
bctech2058.txt,640,1082,1.690625
bctech2059.txt,436,741,1.6995412844036697
bctech2060.txt,397,741,1.8664987405541562
bctech2061.txt,794,1215,1.5302267002518892
bctech2062.txt,666,992,1.4894894894894894
bctech2063.txt,671,1006,1.4992548435171387
bctech2064.txt,510,828,1.6235294117647059
bctech2065.txt,525,854,1.6266666666666667
bctech2066.txt,349,587,1.6819484240687679
bctech2067.txt,577,881,1.5268630849220104
bctech2068.txt,497,788,1.585513078470825
bctech2069.txt,331,579,1.7492447129909365
bctech2070.txt,266,470,1.7669172932330828
bctech2071.txt,265,509,1.920754716981132
bctech2072.txt,310,564,1.8193548387096774
bctech2073.txt,223,442,1.9820627802690582
bctech2074.txt,332,605,1.822289156626506
bctech2075.txt,494,808,1.6356275303643724
bctech2076.txt,548,910,1.6605839416058394
bctech2077.txt,567,977,1.7231040564373898
bctech2078.txt,611,925,1.513911620294599
bctech2079.txt,506,872,1.7233201581027668
bctech2080.txt,458,739,1.6135371179039302
bctech2081.txt,909,1510,1.6611661166116611
bctech2082.txt,560,824,1.4714285714285715
bctech2083.txt,494,836,1.6923076923076923
bctech2084.txt,315,539,1.711111111111111
bctech2085.txt,560,871,1.5553571428571429
bctech2086.txt,500,847,1.694
bctech2087.txt,438,724,1.6529680365296804
bctech2088.txt,402,755,1.8781094527363185
bctech2089.txt,499,793,1.5891783567134268
bctech2090.txt,615,965,1.5691056910569106
bctech2091.txt,558,821,1.471326164874552
bctech2092.txt,340,572,1.6823529411764706
bctech2093.txt,422,672,1.5924170616113744
bctech2094.txt,434,723,1.6658986175115207
bctech2095.txt,363,641,1.765840220385675
bctech2096.txt,376,611,1.625
bctech2097.txt,402,730,1.8159203980099503
bctech2098.txt,495,871,1.7595959595959596
bctech2099.txt,512,825,1.611328125
bctech2100.txt,448,663,1.4799107142857142
bctech2101.txt,483,763,1.5797101449275361
bctech2102.txt,1106,1639,1.4819168173598554
bctech2103.txt,1164,1750,1.5034364261168385
bctech2104.txt,370,678,1.8324324324324324
bctech2105.txt,517,826,1.597678916827853
bctech2106.txt,354,626,1.768361581920904
bctech2107.txt,489,755,1.543967280163599
bctech2108.txt,353,639,1.8101983002832862
bctech2109.txt,583,1020,1.7495711835334478
bctech2110.txt,359,662,1.8440111420612812
bctech2111.txt,461,769,1.668112798264642
bctech2112.txt,379,699,1.8443271767810026
bctech2113.txt,548,949,1.7317518248175183
bctech2114.txt,350,641,1.8314285714285714
bctech2115.txt,1015,1556,1.5330049261083745
bctech2116.txt,702,1006,1.433048433048433
bctech2117.txt,382,686,1.7958115183246073
bctech2118.txt,351,676,1.9259259259259258
bctech2119.txt,433,702,1.6212471131639723
bctech2120.txt,592,926,1.5641891891891893
bctech2121.txt,630,971,1.5412698412698413
bctech2122.txt,489,785,1.605316973415133
bctech2123.txt,685,1087,1.5868613138686132
bctech2124.txt,321,559,1.7414330218068537
bctech2125.txt,445,836,1.8786516853932584
bctech2126.txt,764,1129,1.4777486910994764
bctech2127.txt,1296,2072,1.5987654320987654
bctech2128.txt,779,1420,1.822849807445443
bctech2129.txt,202,327,1.618811881188119
